state,code_state,district,code_district,code_state_district,year,population_total,area_km2,population_growth,housing_total,housing_occupied,housing_empty,household_total,household_size_avg,sex_male,sex_female,nationality_citizen,nationality_non_citizen,ethnicity_bumi,ethnicity_chinese,ethnicity_indian,ethnicity_other,age_0_14,age_15_64,age_65_above,marital_of_age,marital_never_married,marital_married,marital_widowed,marital_separated,marital_unknown,religion_muslim,religion_christian,religion_buddhist,religion_hindu,religion_other,religion_atheist,religion_unknown,density_urban,density_rural,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50
Johor,1,Batu Pahat,1,1_1,1970,249596.0,1966,,,,,,,122454.0,127142.0,249596.0,,162801.0,82116.0,4485.0,194.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Johor,1,Batu Pahat,1,1_1,1980,274625.0,1966,1.0,,,,,,134233.0,140392.0,274625.0,,171498.0,97637.0,5301.0,189.0,112280.0,151068.0,11277.0,,,,,,,,,,,,,,64727.0,209898.0,,,,,,,,,,,
Johor,1,Batu Pahat,1,1_1,1991,294056.0,1966,0.7,66791.0,58132.0,8659.0,59369.0,4.9,145922.0,148134.0,290877.0,3179.0,133958.0,103953.0,5536.0,47430.0,102996.0,176238.0,14822.0,224391.0,102010.0,108892.0,12265.0,1224.0,,184458.0,3377.0,78549.0,4401.0,20562,1435.0,948.0,96335.0,197721.0,,,,,,,state,district,code_state,code_district,code_state_district
Johor,1,Batu Pahat,1,1_1,2000,336509.0,1966,1.3,87184.0,71634.0,15550.0,72434.0,4.6,170374.0,166135.0,328050.0,8459.0,216575.0,105480.0,5525.0,470.0,109112.0,207499.0,19898.0,227397.0,77343.0,135002.0,13904.0,1148.0,,225280.0,3639.0,89968.0,4723.0,11748,770.0,381.0,161508.0,175001.0,,,,,,,Johor,Batu Pahat,1,1,1_1
Johor,1,Batu Pahat,1,1_1,2010,401902.0,1966,1.8,107904.0,90396.0,17508.0,91198.0,4.3,206220.0,195682.0,383391.0,18511.0,256719.0,119361.0,6443.0,868.0,112129.0,261213.0,28560.0,289773.0,105366.0,162267.0,20416.0,1724.0,,267911.0,5118.0,116380.0,6824.0,3173,663.0,1833.0,221888.0,180014.0,,,,,,,Johor,Johor Bahru,1,2,1_2
Johor,1,Batu Pahat,1,1_1,2020,495338.0,1966,2.1,129486.0,105356.0,24130.0,116252.0,4.0,261609.0,233729.0,465143.0,30195.0,316367.0,140103.0,6910.0,1763.0,105923.0,356460.0,32955.0,389415.0,159048.0,211339.0,13635.0,5010.0,383.0,330803.0,14565.0,129831.0,13484.0,5570,1085.0,,309750.0,185588.0,,,,,,,Johor,Kluang,1,3,1_3
Johor,1,Johor Bahru,2,1_2,1970,267913.0,1066,,,,,,,136870.0,131043.0,267913.0,,122373.0,112017.0,29212.0,4311.0,,,,,,,,,,,,,,,,,,,,,,,,,Johor,Kota Tinggi,1,4,1_4
Johor,1,Johor Bahru,2,1_2,1980,406871.0,1066,4.2,,,,,,208189.0,198682.0,406871.0,,206085.0,161615.0,37956.0,1215.0,149163.0,244479.0,13229.0,,,,,,,,,,,,,,270022.0,136849.0,,,,,,,Johor,Mersing,1,5,1_5
Johor,1,Johor Bahru,2,1_2,1991,704471.0,1066,5.5,184488.0,141534.0,42954.0,150938.0,4.6,366337.0,338134.0,678287.0,26184.0,329359.0,260493.0,64923.0,23512.0,229812.0,456055.0,18604.0,536860.0,248101.0,269251.0,16602.0,2906.0,,376354.0,19029.0,196853.0,55420.0,46926,5469.0,2632.0,560227.0,144244.0,,,,,,,Johor,Muar,1,6,1_6
Johor,1,Johor Bahru,2,1_2,2000,1081978.0,1066,4.3,303419.0,238508.0,64911.0,246082.0,4.3,564466.0,517512.0,1017892.0,64086.0,521248.0,387522.0,101827.0,7295.0,327529.0,727994.0,26455.0,754449.0,289176.0,436574.0,23984.0,4715.0,,577765.0,35139.0,336341.0,90901.0,28854,6565.0,6413.0,985407.0,96571.0,,,,,,,Johor,Pontian,1,7,1_7
